open,high,low,close,volume,trade_count,vwap,sma5,sma50,sma100,ema20,rsi14,macd,upperBB,lowerBB,ATR14,momentum,deviation,zscore,target
254.56,255.0,253.01,254.43,40127687.0,489835.0,254.01784,254.7,229.31560000000002,216.8331,243.60368955278366,70.14446227929375,1.2309597756524688,261.2549241816929,222.5030758183071,5.241028571428572,36.53,25.11439999999999,1.295525300605654,1
254.855,255.919,253.11,254.63,37704259.0,439294.0,254.552522,254.74,230.15859999999998,217.41690000000003,244.65381435728045,82.76836158192091,0.9436409305983853,262.41178457600404,223.83721542399596,4.841671428571429,32.5,24.471400000000017,1.1930658206095428,1
255.04,258.79,254.93,255.45,48713940.0,535581.0,256.024007,255.368,230.9796,217.99649999999997,245.68202251372992,81.72740888666999,0.7068096710502063,263.8829500439516,224.0640499560484,4.867385714285717,32.25999999999999,24.470399999999984,1.1528696146467883,1
256.575,258.18,254.15,257.13,42630239.0,485229.0,256.906581,255.42,231.83919999999998,218.5825,246.77230608385088,80.58355437665784,0.5673103666305996,265.4797034476483,224.2022965523516,4.763100000000004,33.24000000000001,25.29080000000002,1.1908693810318072,1
254.665,259.24,253.95,258.02,49155614.0,706052.0,257.943045,255.93199999999996,232.72439999999997,219.0548,247.84351502824603,79.6440489432703,0.4444206606050489,267.0506675476078,224.46433245239217,4.846671428571434,54.829999999999984,25.295600000000007,1.1517779092831706,0
257.99,259.07,255.05,256.69,44664118.0,649161.0,256.913498,256.38399999999996,233.5806,219.49239999999998,248.68603740650832,75.86495535714289,0.19569547226916573,268.18689025079004,225.20910974921,4.784064285714289,68.31,23.109399999999994,0.9299689172764656,0
256.805,257.4,255.43,256.48,31955776.0,511382.0,256.418255,256.754,234.42919999999998,219.93390000000002,249.42831955826944,74.83669412098843,-0.04783261925965654,268.8915201782986,226.71747982170146,4.755500000000002,75.02000000000001,22.050800000000038,0.822828443909612,1
256.52,258.52,256.11,258.06,36496895.0,395556.0,257.816008,257.276,235.365,220.4,250.25038436224378,78.27914798206288,-0.16099448777677505,268.43476314538145,230.30123685461857,4.602642857142858,85.64000000000001,22.694999999999993,0.9117436382593848,0
257.805,258.0,253.14,254.04,38322012.0,536585.0,254.546845,256.658,236.2648,220.8278,250.6113001372682,63.31047381546138,-0.5435251795602651,267.40122036056005,233.73577963943998,4.352642857142858,55.19,17.775199999999984,0.41247046533653653,0
254.94,256.38,244.0,245.27,61999098.0,908253.0,248.52861,254.108,237.0188,221.1927,250.1026048860998,32.14403700033034,-1.3767332395663656,266.31484327628715,235.9421567237128,4.441214285714287,54.85000000000002,8.251200000000011,-0.7715484752867088,1
